company,deal,stage,owner,bdr,amount,submitted,pipeline,created,updated,id
Carmar Insurance Agency,Carmar Insurance Agency - New Deal,Submission Received,Ayush Chavan,Ayush Chavan,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,c5b11012-a99b-46a1-9184-5a0cbfc651fe
Casey,Casey - New Deal,Submission Received,Harry Palmer,Harry Palmer,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,30dda481-c484-4eaf-8e9e-500db5a14de4
Charlseninsurance,"Charlsen Insurance Agency, Inc - New Deal",Submission Received,Zarret Mills,Joshua Byrne,,no,ES_CARRIER,2026-09-21,2026-09-22 18:14,96e98868-a1a3-4fdc-85b8-09c288a248cc
"Chris Arnott Agency, Inc. (Nationwide)","Chris Arnott Agency, Inc. (Nationwide) - New Deal",Submission Received,Zarret Mills,Ayush Chavan,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,f1e47054-fbe4-47ea-b181-3e0b9ecc500b
Clopton Capital | Commercial Mortgage Debt & Equity,clopton capital | commercial mortgage debt & equity - E&S New Deal,Submission Received,Zarret Mills,Zarret Mills,,no,ES_CARRIER,2026-09-21,2026-09-22 17:31,8b3758ae-8fa5-4d59-b94e-a2773bd0dbbf
Commercial Insurance Connections,Commercial Insurance Connections - New Deal,Submission Received,Ayush Chavan,Ayush Chavan,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,8e1a3ca1-134d-4e26-898d-3a8c9b4922c9
Conexion Insurance Agency,Conexion Insurance Agency - E&S New Deal,Submission Received,Zarret Mills,Zarret Mills,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,33e3599e-f6a1-4e4c-816e-b6b5569bb526
Cornerstone Independent Insurance Agency LLC,Cornerstone Independent Insurance Agency LLC - New Deal,Submission Received,Ayush Chavan,Ayush Chavan,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,7e2d66d2-b0e6-4b47-9b10-3fc98eed1929
Covertoday,Univision Insurance Services - E&S New Deal,Submission Received,Zarret Mills,Zarret Mills,,no,ES_CARRIER,2026-09-21,2026-09-22 18:14,10f48a7b-dd59-4a61-b3f0-c273343d71e0
Creative Insurance Marketing Company (CIMCO),Creative Insurance Marketing Co - New E+S Deal,Submission Received,Harry Palmer,Joshua Byrne,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,c5c33bc1-7417-45e6-bfde-587dfd8ba1bd
Creative Insurance Marketing Company (CIMCO),Sandin Insurance Group (LiquorInsurance.com) - New Deal,Submission Received,Harry Palmer,Joshua Byrne,,no,ES_CARRIER,2026-09-14,2026-09-22 17:31,64580919-2ab6-4cdb-8261-05bc6cf95ea8
Cxeinsurance,CXE Insurance - E&S New Deal,Submission Received,Zarret Mills,Zarret Mills,,no,ES_CARRIER,2026-09-21,2026-09-22 18:14,0bb28810-678d-46ad-ad12-c137320573d5
Dalacsinsurance,DALACS Insurance Team - E&S New Deal,Submission Received,Zarret Mills,Zarret Mills,,no,ES_CARRIER,2026-09-21,2026-09-22 18:14,b44529dc-10dd-4295-9d2d-051ed9054ab6
Darr Insurance,Darr Insurance Agency - New Deal,Submission Received,Kristian Fraser,Kristian Fraser,,no,ES_CARRIER,2026-09-21,2026-09-22 18:14,3d2109e0-e2ad-4cee-8f91-7c41c43964aa
David King Insurance,David King Insurance - E&S New Deal,Submission Received,Zarret Mills,Zarret Mills,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,25d558ea-f789-400d-9993-6b5e6bb97dbf
DEAN MOFIDI INSURANCE SERVICES LLC,Dean Mofidi Insurance Services - New Deal,Submission Received,Kristian Fraser,Kristian Fraser,,no,ES_CARRIER,2026-09-21,2026-09-22 18:14,678bf64e-74d2-4864-9e8e-527bbdd2274a
Dragon Insurance Services,Dragon Insurance Services - New Deal,Submission Received,Malik Djotni,Malik Djotni,,no,ES_CARRIER,2026-09-21,2026-09-22 18:14,8d8dd21b-1fb7-46ea-94b2-5f4aac21cfe3
DRIVEN Insurance Services,DRIVEN Insurance Services - New Deal,Submission Received,Ayush Chavan,Ayush Chavan,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,809c821f-1eb6-43d6-a06d-2d147cda883c
Elevate Protection Group,Elevate Protection Group - New Deal,Submission Received,Harry Palmer,Harry Palmer,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,4ac410d1-8846-4aaf-8cf3-1fa047dbfe4a
Elite Partners Insurance Group,Elite Partners Insurance Group - E&S New Deal,Submission Received,Malik Djotni,Malik Djotni,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,84d17d69-bc6a-437c-8d48-7822a05d074b
Elliott Insurance,Elliott Insurance - New Deal,Submission Received,Dinesh  Sharma,Allie K,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,840bfb6c-f4a1-409a-a81d-322943d6e3f6
Employer Insurance Services,Employer Insurance Services - E&S New Deal,Submission Received,Zarret Mills,Zarret Mills,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,e2379b1c-2716-440f-8db4-0913e621e4c1
"EQUAL PARTS INSURANCE AGENCY, LLC","EQUAL PARTS INSURANCE AGENCY, LLC - New Deal",Submission Received,Harry Palmer,Harry Palmer,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,a9f75a3d-06de-4de4-be2b-c5e5199983f8
FIRST ANCHENG INSURANCE AGECNY 安诚保险,FIRST ANCHENG INSURANCE AGECNY 安诚保险 - New Deal,Submission Received,Kristian Fraser,Kristian Fraser,,no,ES_CARRIER,2026-09-14,2026-09-22 17:31,ed7ffc50-8550-406c-b7f0-7ac63c08cbf5
Fry Integra Insurance Services,Fry Integra Insurance Services - New Deal,Submission Received,Ayush Chavan,Allie K,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,77f8edf1-e528-4d83-8eed-30448cf50536
Garcia Agency,Garcia Agency - New Deal,Submission Received,Kristian Fraser,Kristian Fraser,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,613a9e7d-cde2-48c5-b911-6f3641cd0e3b
Garrison Enterprises,Garrison Enterprises - E&S New Deal,Submission Received,Malik Djotni,Malik Djotni,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,82603e6a-52ea-447b-a0f9-365a6283efb6
Gerety Insurance,Gerety Insurance - New Deal,Submission Received,Malik Djotni,Malik Djotni,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,2c83dcc8-2bf0-4c0a-8ca4-b91d9db4df3a
GF Brown Insurance Services,GF Brown Insurance Services - E&S New Deal,Submission Received,Zarret Mills,Zarret Mills,,no,ES_CARRIER,2026-09-21,2026-09-22 18:14,8d74cbe8-eb9d-4a11-b0ce-abcbb0538a58
Gnome Insurance,Gnome Insurance  - New E+S Deal,Submission Received,Harry Palmer,Joshua Byrne,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,b207c849-834e-4197-aeff-1994e53b8c21
Griffin Insurance Agency,Griffin Insurance Agency - E&S New Deal,Submission Received,Malik Djotni,Malik Djotni,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,c4f9a5d6-b1dd-4410-ba70-d1c856416490
His Will Insurance Agency,His Will Insurance Agency - New Deal,Submission Received,Kristian Fraser,Kristian Fraser,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,21fe61a4-57f8-476b-84c7-49e4700eb202
"HOWARD EALES, INC.","howard eales, inc. - New Deal",Submission Received,Ayush Chavan,Allie K,,no,ES_CARRIER,2026-09-21,2026-09-22 18:14,47024bee-a4d3-4f96-9e23-8de6219c7b0f
"Hughes Financial Services, Inc. DBA Complete Truck Insurance Agency","Hughes Financial Services, Inc. -- E&S New Deal",Submission Received,Zarret Mills,Zarret Mills,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,0a256f6a-19f4-4773-8675-55446bfb9122
Humble Insurance Solutions,Humble Insurance Solutions - E&S New Deal,Submission Received,Zarret Mills,Zarret Mills,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,55646d5e-47d9-4c50-822c-dfd4c58dcf51
Imming Insurance Agency,Imming Insurance Agency - E&S New Deal,Submission Received,Zarret Mills,Zarret Mills,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,5ce5e1ed-a4bb-45d2-8e94-608d172d86bd
Indy Select Insurance,Indy Select Insurance - New Deal,Submission Received,Kristian Fraser,Kristian Fraser,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,419088d7-2556-4c0d-95b4-de62b9c0d1c3
Insurance & Mortgage Services,T. Vance Webster Insurance - New Deal,Submission Received,Zarret Mills,Zarret Mills,,no,ES_CARRIER,2026-09-21,2026-09-22 18:14,ae841c6c-3e52-4c4a-a4f6-0f2bbbe5b605
Insurance Pro,Insurance Pro - New Deal,Submission Received,Ayush Chavan,Ayush Chavan,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,14f42e26-5d40-4891-b6c8-84102648098b
ISU American Business Insurance,ISU American Business Insurance - New E+S Deal,Submission Received,Malik Djotni,Joshua Byrne,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,60ed6cee-f4d4-4348-a226-196e603c099e
ISU Armac Insurance Services,ISU Armac Insurance Services - E+S New Deal,Submission Received,Harry Palmer,Joshua Byrne,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,10ab9457-8775-4711-8abb-611ad4c150d8
James L Smith Insurance Agency,James L. Smith Insurance - New Deal,Submission Received,Kristian Fraser,Kristian Fraser,,no,ES_CARRIER,2026-09-21,2026-09-22 18:14,e9eb33c0-c3be-4470-8ae2-ca532c802380
Joel Harrison Insurance,Joel Harrison Insurance - New Deal,Submission Received,Kristian Fraser,Kristian Fraser,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,8d321c0f-daee-4f74-9de4-cd751f1628ad
Kastner Insurance Group LLC,Kastner Insurance Group LLC - New Deal,Submission Received,Zarret Mills,Zarret Mills,,no,ES_CARRIER,2026-09-21,2026-09-22 18:14,2c1a858a-2c03-424d-a76d-93d79851c3cd
kwan insurance services,Kwan Insurance Services - New Deal,Submission Received,Ayush Chavan,Ayush Chavan,,no,ES_CARRIER,2026-09-21,2026-09-22 17:31,4f358afd-a47e-4b69-a6b6-0de543dfd49c
"Landmark Insurance & Financial Group, Inc.","Landmark Insurance & Financial Group, Inc. - New Deal",Submission Received,Kristian Fraser,Kristian Fraser,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,3e7f55d5-8a7f-47ea-913c-8cd896d0d0ad
Lordsburg Taphouse & Grill,Lordsburg Taphouse & Grill - New Deal,Submission Received,Harry Palmer,Harry Palmer,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,b1e42ac6-ec42-45fe-af66-f5cd9bacf59c
Mace Insurance Agency / Meemic Insurance,"Mace Insurance Agency, Inc. - New E+S Deal",Submission Received,Harry Palmer,Joshua Byrne,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,92d142eb-d919-4185-bda0-19d8d672c493
Mainline Insurance Services,Mainline Insurance Services - New Deal,Submission Received,Dinesh  Sharma,Malik Djotni,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,dd74c3d3-0cba-4905-931d-38aaa788c8d5
McClatchy Insurance Agency,McClatchy Insurance Agency - New Deal,Submission Received,Dinesh  Sharma,Allie K,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,2861ff28-c90e-4934-8bb0-bfa084b3eb8d
Members Edge Insurance Svc,Members Edge Insurance Services - New Deal,Submission Received,Kristian Fraser,Kristian Fraser,,no,ES_CARRIER,2026-09-21,2026-09-22 18:14,2b5aa1d6-a1ba-431e-9a62-403047b25804
Mera Insurance Agency,(unnamed),Submission Received,Joshua Byrne,Joshua Byrne,,no,unset,2026-09-22,2026-09-22 17:31,6f937218-1e04-4937-8c4c-a8c43e91a462
Meyer Insurance Agy,Meyer Insurance Agy - New E+S Deal,Submission Received,Dinesh  Sharma,Joshua Byrne,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,8e66ec2b-7c49-4164-ac71-fc3c1f933328
Micheal Smith Insurance Agency,Micheal Smith Insurance Agency - New Deal,Submission Received,Kristian Fraser,Kristian Fraser,,no,ES_CARRIER,2026-09-14,2026-09-22 17:31,df32a2d6-56e3-42f2-baf4-a92f27d1fe71
Midvalley Insurance Group,(unnamed),Submission Received,Unassigned,Unassigned,,no,unset,2026-09-22,2026-09-22 18:14,348c7ea7-1b46-49de-87d6-24575b4fad0d
Midvalley Insurance Group,(unnamed),Submission Received,Unassigned,Unassigned,,no,unset,2026-09-22,2026-09-22 18:14,5c61b730-7716-45c6-9f8a-6358ddc1f40d
mrandsins.com,E&S,Submission Received,Ayush Chavan,Allie K,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,1f320c8c-7e75-413c-a24f-186d037d13a6
Nadler Insurance,Paul R. Nadler Insurance Services - New Deal,Submission Received,Ayush Chavan,Ayush Chavan,,no,ES_CARRIER,2026-09-21,2026-09-22 18:14,97be6130-9865-4260-8b1d-512d99f55d62
Newark Special Event Insurance,Newark Special Event Insurance - E&S New Deal,Submission Received,Zarret Mills,Zarret Mills,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,284cdbc7-bfcc-49f7-8862-62b9809fcc4c
Novacoverage,Nova Coverage - New Deal,Submission Received,Kristian Fraser,Joshua Byrne,,no,ES_CARRIER,2026-09-14,2026-09-22 17:31,82890bdf-a9a8-4ea1-9225-69753041dd70
Novacoverage,Nova Insurance E+S Deal,Submission Received,Harry Palmer,Joshua Byrne,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,d7002fff-a7ed-400f-9ec8-4241229618b0
"Nyack, New York Restaurant, Bar & Taverns Insurance","Nyack, New York Restaurant, Bar & Taverns Insurance - E&S New Deal",Submission Received,Zarret Mills,Zarret Mills,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,59aa4558-adcf-47fb-9dda-43505bac9d84
On Guard Agency,On Guard Agency - New Deal,Submission Received,Malik Djotni,Malik Djotni,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,a9b97a2c-2428-4539-9283-f4f19f63e609
Pacific Atlantic Insurance Services,Pacific Atlantic Insurance Services - E&S New Deal,Submission Received,Zarret Mills,Zarret Mills,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,16c778d9-0119-48ad-9bb2-1c164de9cea1
Pathfinder/LL&D Insurance Group,Pathfinder/LL&D Insurance Group - New Deal,Submission Received,Harry Palmer,Harry Palmer,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,eeb833d0-b5e6-4f4d-b13f-341b4159f0e4
Peoples Underwriters,Peoples Underwriters - New Deal,Submission Received,Ayush Chavan,Ayush Chavan,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,ec390447-c2e5-4f6e-9f77-9898a7e0551e
Perez & Company Insurance Agency,Perez & Company Insurance Agency - New Deal,Submission Received,Kristian Fraser,Kristian Fraser,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,5d8e1405-5139-422e-966f-a519254aa9f9
Prime Insurance Company,Prime Insurance Company - New E+S Deal,Submission Received,Dinesh  Sharma,Joshua Byrne,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,cbc265ad-18d5-43ce-8bb1-3310c73ffc1f
Prime Insurance Services Inc.,Insure test,Submission Received,Harry Palmer,Harry Palmer,25000.00,yes,ES_CARRIER,2026-09-22,2026-09-22 18:51,0cbd6b38-5856-4366-bcec-1ec37e17570a
Prime Insurance Services Inc.,Insured Name,Submission Received,Dinesh  Sharma,Joshua Byrne,,no,ES_CARRIER,2026-09-21,2026-09-22 18:14,55ccceb0-7a15-4022-b4b7-cc1b0f092ddc
Prime Insurance Services Inc.,Insured Name - Deal,Submission Received,Harry Palmer,Harry Palmer,25000.00,no,ES_CARRIER,2026-09-22,2026-09-22 18:36,289a5653-875a-4e9e-8391-74bf32277e02
Prime Insurance Services Inc.,test insured 2,Submission Received,Harry Palmer,Ayush Chavan,25000.00,yes,ES_CARRIER,2026-09-22,2026-09-22 18:54,c4be66a3-27d7-4ddf-9662-4ea9e2a2ce7d
Protectwithhis,Haendiges Insurance Solutions - New Deal,Submission Received,Kristian Fraser,Kristian Fraser,,no,ES_CARRIER,2026-09-21,2026-09-22 18:14,e506dc24-ab5f-4a84-b6fd-81911eaf446d
Reina Insurance,Reina Insurance - New E+S Deal,Submission Received,Dinesh  Sharma,Joshua Byrne,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,2468bd84-bdd5-444d-97da-36a86396ae35
RF Insurance Agency,RF Insurance Agency - New Deal,Submission Received,Kristian Fraser,Kristian Fraser,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,18cd69af-17e7-4209-a477-c9e04b8bc873
"Risk Suppression Partners, LLC",RISK SUPPRESSION PARTNERS LLC - E&S New Deal,Submission Received,Zarret Mills,Zarret Mills,,no,ES_CARRIER,2026-09-21,2026-09-22 18:14,2a44e522-6f88-4eac-9bda-d90d97e79459
"River Valley Underwriters, Inc.","River Valley Underwriters, Inc. - E&S New Deal",Submission Received,Malik Djotni,Malik Djotni,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,75e60867-8eb2-4b49-9f7a-d212390f9a07
Segurosidealinc,Seguros Ideal Inc. - E&S New Deal,Submission Received,Zarret Mills,Zarret Mills,,no,ES_CARRIER,2026-09-22,2026-09-22 17:31,0b174154-0772-4bec-9bdb-505e4aeac4b9
Seymour Liquor Liability Insurance,Seymour Liquor Liability Insurance - New Deal,Submission Received,Kristian Fraser,Kristian Fraser,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,2279ca2f-1885-4d47-b76c-8b6586334ff6
Solomon Insurance,Eugene J. Solomon Insurance Agency - E&S New Deal,Submission Received,Zarret Mills,Zarret Mills,,no,ES_CARRIER,2026-09-21,2026-09-22 18:14,2f4242d6-e316-4178-bfd7-efc71428acff
Somainsure,Somainsure - E&S New Deal,Submission Received,Zarret Mills,Zarret Mills,,no,ES_CARRIER,2026-09-21,2026-09-22 17:31,12c5c27d-125f-43da-adf6-5192b26ba337
Southpenninsurance,Southpenninsurance - New Deal,Submission Received,Malik Djotni,Malik Djotni,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,55d28576-2781-4c90-a1b7-829916ab6165
Southwest Business Insurance Agency,Southwest Business Insurance Agency - New Deal,Submission Received,Kristian Fraser,Kristian Fraser,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,489b5ebf-1052-452c-9381-874602a98108
Spectrum Insure,Spectrum Insure - New Deal,Submission Received,Ayush Chavan,Ayush Chavan,,no,ES_CARRIER,2026-09-14,2026-09-22 17:31,958c1fcc-9965-47b3-8e31-c7013c8a42b6
Springer Insurance,Springer Insurance - New Deal,Submission Received,Kristian Fraser,Kristian Fraser,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,7f75fa89-078f-469c-81d4-b18b74e878b0
"Stan Steele Agency, Inc.","Stan Steele Agency, Inc. - E&S New Deal",Submission Received,Zarret Mills,Zarret Mills,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,40da3e39-ec36-4a1e-a9d1-b9d5d09dc919
Stephenson Insurance,(unnamed),Submission Received,Unassigned,Unassigned,,no,unset,2026-09-22,2026-09-22 18:14,51b962b7-5266-4439-8b2c-b6983b84bc01
Strategic Insurance Advisors,Strategic Insurance Advisors - New Deal,Submission Received,Malik Djotni,Ayush Chavan,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,8a630452-4aaa-45ce-8736-62d80f678a75
Supreme-choice,Supreme Choice Insurance Solutions - New Deal,Submission Received,Kristian Fraser,Kristian Fraser,,no,ES_CARRIER,2026-09-21,2026-09-22 18:14,6c015c59-b5fe-4c11-b46f-9ca551f1cabe
tailored werks insurance agency llc,tailored werks insurance agency llc - E&S New Deal,Submission Received,Zarret Mills,Zarret Mills,,no,ES_CARRIER,2026-09-21,2026-09-22 18:14,a84690cb-0bb8-4a20-8871-153e39bc25f4
The Grogan Agency,The Grogan Agency - E&S New Deal,Submission Received,Zarret Mills,Zarret Mills,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,9ce645f2-5800-435f-baed-b9e897edae98
The Peak Agency,The Peak Agency - New Deal,Submission Received,Ayush Chavan,Ayush Chavan,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,91139725-558c-4e11-ad2d-c814f0a9416a
Tulsahomeauto,Szeszulski Agency (American National) - New Deal,Submission Received,Kristian Fraser,Kristian Fraser,,no,ES_CARRIER,2026-09-21,2026-09-22 17:31,e6a61bbe-98ad-4e71-94b2-e7ccaada46e5
Valley Insurance Partners,Valley Insurance Partners - E&S New Deal,Submission Received,Zarret Mills,Zarret Mills,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,d1dec414-d356-4930-8976-5a2f430ec09f
